 ,,,,,,,,,,,,53,,,,,,,,,
,Position #,Description,Function,Destination,,Wire GA,Wire Color,Notes,Code,,,, ,,,,,,,,
,,,,Connector name ,Position #,,,,,,,20awg,,,,16 awg,,,,ECU Pins needed in firewall,
,A01,Injector 1,Inj 1,47,12,22 FW,,1,,,,4,inj,,,3,"power (inj, ign, misc) (16awg)",,,16AWG,5
,A02,Injector 2,Inj 2,47,13,22 FW,,1,,,,4,coil,,,2,DBW (16awg),,,20AWG,37
,A03,Injector 3,Inj 3,47,2,22 FW,,1,,,,1,alt,,,,,,,,
,A04,Injector 4,Inj 4,47,3,22 FW,,1,,,,1,vtc,,,,,,,,
,A05,Injector 5,Killswitch,,,22 AWG,,,,,,1,vtec,,,,,,,,
,A06,Injector 6,Unused,,,,,,,,,1,crank,,,,,,,,
,A07,Injector 7,Unused,,,,,,,,,1,intake,,,,,,,,
,A08,Injector 8,Unused,,,,,,,,,1,exhaust,,,,,,,,
,A09,DPO 1,Brake Pedal Switch,,,20 AWG,,,,,,2,Combo temp/pressure (+5v from harness power),,,,,,,,
,A10,Battery Ground Out,"GROUND OUT FOR SHIELDS,
3A MAX LOAD PER PIN
BATTERY GROUND
LOW-CURRENT CAN DEVICES,
DIGITAL SENSORS
OUT
DO NOT CONNECT TO
ENGINE, CHASSIS, OR
BATTERY GROUND",47,42,22 FW,BLACK/WHITE,1,,,,2,Combo temp/pressure (+5v from harness power),,,,,,,,
,A11,Battery Ground Out,"GROUND OUT FOR SHIELDS,
3A MAX LOAD PER PIN
BATTERY GROUND
LOW-CURRENT CAN DEVICES,
DIGITAL SENSORS
OUT
DO NOT CONNECT TO
ENGINE, CHASSIS, OR
BATTERY GROUND",,,22 FW,BLACK/WHITE,,,,,1,oil pressure,,,,,,,,
,A12,DPO 2,Clutch Pedal Switch,,,20 AWG,,,,,,1,oil temp,,,,,,,,
,A13,Ignition switch input,Ignition +12v input,,,20 AWG,,,,,,1,flex fuel,,,,,,,,
,A14,DPO 3,alt control,47,17,22 FW,,1,,,,1,MAP,,,,,,,,
